City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-0.5600000000000023,91,100,2.1,GS,1722024510
1,claremont,34.0967,-117.7198,37.94,36,0,5.66,US,1722024488
2,songea,-10.6833,35.65,13.700000000000045,31,0,0.72,TZ,1722024513
3,puerto natales,-51.7236,-72.4875,3.25,75,75,4.63,CL,1722024514
4,bilibino,68.0546,166.4372,3.480000000000018,72,100,2.27,RU,1722024515
5,bethel,41.3712,-73.414,28.78000000000003,48,0,5.66,US,1722023972
6,port-aux-francais,-49.35,70.2167,0.5300000000000296,82,49,18.68,TF,1722024517
7,anadyr,64.75,177.4833,8.28000000000003,81,75,5.0,RU,1722024518
8,kirakira,-10.4544,161.9205,24.57000000000005,87,100,3.7,SB,1722024520
9,blackmans bay,-43.0167,147.3167,9.07000000000005,78,100,0.45,AU,1722024521
10,la sarre,48.8002,-79.1996,24.689999999999998,52,31,3.22,CA,1722024522
11,utrik,11.2278,169.8474,27.840000000000032,81,100,8.46,MH,1722024523
12,hawaiian paradise park,19.5933,-154.9731,26.730000000000018,80,100,2.57,US,1722024524
13,mount gambier,-37.8333,140.7667,7.2000000000000455,96,100,1.52,AU,1722024525
14,cidreira,-30.1811,-50.2056,17.060000000000002,82,84,2.85,BR,1722024526
15,nemuro,43.3236,145.575,13.220000000000027,91,65,1.92,JP,1722024529
16,fada n'gourma,12.0622,0.3578,28.340000000000032,69,73,2.81,BF,1722024530
17,aasiaat,68.7098,-52.8699,2.4399999999999977,95,100,3.8,GL,1722024531
18,olonkinbyen,70.9221,-8.7187,5.060000000000002,98,100,4.48,SJ,1722024532
19,college,64.8569,-147.8028,20.180000000000007,79,100,4.12,US,1722024533
20,lorengau,-2.0226,147.2712,27.200000000000045,79,100,3.14,PG,1722024534
21,petropavlovsk-kamchatsky,53.0452,158.6483,9.330000000000041,100,75,2.0,RU,1722024536
22,pangkalanbuun,-2.6833,111.6167,22.24000000000001,100,10,0.72,ID,1722024537
23,bambanglipuro,-7.95,110.2833,23.77000000000004,88,100,4.64,ID,1722024538
24,guixi,28.2886,117.2133,25.27000000000004,98,100,2.25,CN,1722024539
25,papao,-17.75,-149.55,26.82000000000005,68,94,6.72,PF,1722024540
26,port elizabeth,-33.918,25.5701,11.840000000000032,93,2,2.81,ZA,1722024541
27,stanley,54.868,-1.6985,14.840000000000032,73,0,2.57,GB,1722024543
28,harper,4.375,-7.7169,24.58000000000004,85,100,5.09,LR,1722024544
29,adamstown,-25.066,-130.1015,20.30000000000001,73,100,5.92,PN,1722024545
30,waitangi,-43.9535,-176.5597,8.230000000000018,83,3,3.0,NZ,1722024546
31,hamilton,39.1834,-84.5333,30.140000000000043,43,0,4.12,US,1722024276
32,den burg,53.0542,4.7972,18.310000000000002,88,20,2.06,NL,1722024549
33,hithadhoo,-0.6,73.0833,28.950000000000045,70,85,3.77,MV,1722024551
34,badger,64.8,-147.5333,20.140000000000043,76,100,4.12,US,1722024552
35,maceio,-9.6658,-35.7353,26.689999999999998,65,40,5.14,BR,1722024553
36,rongelap,11.1635,166.8941,28.07000000000005,78,61,8.54,MH,1722024554
37,yellowknife,62.456,-114.3525,24.670000000000016,51,100,7.6,CA,1722024555
38,tura,25.5198,90.2201,25.83000000000004,96,100,2.88,IN,1722024556
39,sanctuary point,-35.1114,150.629,7.330000000000041,70,39,2.22,AU,1722024557
40,edinburgh of the seven seas,-37.0676,-12.3116,10.75,60,44,3.64,SH,1722024558
41,enewetak,11.3474,162.3373,28.629999999999995,78,100,9.53,MH,1722024560
42,isafjordur,66.0755,-23.124,7.5400000000000205,93,99,2.64,IS,1722024561
43,ratnagiri,16.9833,73.3,27.230000000000018,88,100,8.1,IN,1722024562
44,blythe,33.6103,-114.5964,42.25,24,40,3.09,US,1722024563
45,cumra,37.5732,32.7745,21.08000000000004,51,1,7.3,TR,1722024564
46,wanning,18.8003,110.3967,26.650000000000034,94,100,4.24,CN,1722024565
47,lata,40.1629,-8.3327,19.49000000000001,90,50,1.77,PT,1722024566
48,tsiombe,-25.3,45.4833,17.410000000000025,71,0,1.82,MG,1722024568
49,sitka,57.0531,-135.33,15.939999999999998,72,75,1.54,US,1722024569
